2025-12-07 20:29:17,810 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:29:17,823 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:29:17,933 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:29:17,948 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:29:18,049 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:29:18,063 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:29:18,164 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:29:18,177 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:29:18,323 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:29:18,337 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:29:18,436 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:29:18,449 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:29:18,552 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:29:18,568 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:29:18,684 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:29:18,697 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:29:18,746 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:29:18,834 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:29:18,935 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:29:19,026 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:29:19,118 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:29:19,214 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:29:19,305 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:29:19,403 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:29:19,494 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:29:19,587 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:29:19,676 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:29:19,785 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:29:19,877 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:29:19,969 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:29:20,060 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:29:20,153 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:29:20,262 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
