Result_ID,Sensitivity,Country,Year,Tech,Availability,LCOE,Cost,Solar_Capacity_MW,BESS_Energy_MWh
280,Default,Australia,2015,Gas,0.25,95.14564121757026,1355169.9999999998,,
281,DR=0.08_LT=25,Australia,2015,Gas,0.25,105.3839901801841,1355169.9999999998,,
282,Default,Australia,2016,Gas,0.25,83.64702367371059,1355169.9999999998,,
283,DR=0.08_LT=25,Australia,2016,Gas,0.25,93.88537263632445,1355169.9999999998,,
284,Default,Australia,2017,Gas,0.25,90.73229560353516,1355169.9999999998,,
285,DR=0.08_LT=25,Australia,2017,Gas,0.25,100.97064456614899,1355169.9999999998,,
286,Default,Australia,2018,Gas,0.25,103.72610963862289,1355169.9999999998,,
287,DR=0.08_LT=25,Australia,2018,Gas,0.25,113.96445860123671,1355169.9999999998,,
288,Default,Australia,2019,Gas,0.25,83.23640612985096,1355169.9999999998,,
289,DR=0.08_LT=25,Australia,2019,Gas,0.25,93.47475509246478,1355169.9999999998,,
290,Default,Australia,2020,Gas,0.25,75.29456051581586,1355169.9999999998,,
291,DR=0.08_LT=25,Australia,2020,Gas,0.25,85.53290947842969,1355169.9999999998,,
292,Default,Australia,2021,Gas,0.25,150.30912016493872,1355169.9999999998,,
293,DR=0.08_LT=25,Australia,2021,Gas,0.25,160.54746912755252,1355169.9999999998,,
294,Default,Australia,2022,Gas,0.25,278.5764184105527,1355169.9999999998,,
295,DR=0.08_LT=25,Australia,2022,Gas,0.25,288.8147673731666,1355169.9999999998,,
296,Default,Australia,2023,Gas,0.25,133.54949735792113,1355169.9999999998,,
297,DR=0.08_LT=25,Australia,2023,Gas,0.25,143.78784632053492,1355169.9999999998,,
298,Default,Australia,2024,Gas,0.25,121.7220885859913,1355169.9999999998,,
299,DR=0.08_LT=25,Australia,2024,Gas,0.25,131.96043754860514,1355169.9999999998,,
300,Default,Australia,2024,Solar+BESS,0.3,27.05,1229836.0255999998,1.3,0.0
301,DR=0.08_LT=25,Australia,2024,Solar+BESS,0.3,43.84,1229836.0255999998,1.3,0.0
302,Default,Australia,2015,Solar+BESS,0.3,70.4,3469336.1612,1.3,0.0
303,DR=0.08_LT=25,Australia,2015,Solar+BESS,0.3,117.76,3469336.1612,1.3,0.0
